base	target	same_origin	tok_pd	tok_ag	emb_pd	emb_ag
Qwen2.5-14B	oxy-1-small	Y	0.7001	0.5138	0.2524	0.1679
Llama-3.1-8B	AQUA-7B	N	-0.0040	-0.0382	0.5523	0.4365
Llama-3.1-8B	EYE-Llama_qa	N	0.0001	0.0016	0.2411	0.1885
Llama-3.1-8B	Llama-2-7B-Chat-GPTQ	N	0.0016	-0.0039	0.1963	0.1558
Llama-3.1-8B	Llama-2-7b	N	0.0027	0.0126	0.1578	0.0849
Llama-3.1-8B	Llama-2-7b-chat	N	0.0005	-0.0044	0.1985	0.1510
Llama-3.1-8B	Llama-3.1-8B-Carballo	Y	0.2431	0.2169	0.1001	0.0624
Llama-3.1-8B	Llama-3.1-8B-ExtraMix	Y	0.6126	0.4780	0.9538	0.9164
Llama-3.1-8B	Llama-3.1-8B-Fireplace2	Y	0.4427	0.4257	0.8923	0.7792
Llama-3.1-8B	Llama-3.1-8B-Instruct	Y	0.5226	0.4059	0.9367	0.8846
Llama-3.1-8B	Llama-3.1-8B-Instruct-4bit	Y	0.6778	0.6343	0.9018	0.8716
Llama-3.1-8B	Llama-3.1-8B-Instruct-8bit	Y	0.5223	0.4065	0.9365	0.8838
Llama-3.1-8B	Llama-3.1-8B-Instruct-Abliterated	Y	0.5658	0.6084	0.8210	0.7310
Llama-3.1-8B	Llama-3.1-8B-Instruct-HalfAbliterated-TIES	Y	0.6679	0.5247	0.8939	0.8217
Llama-3.1-8B	Llama-3.1-8B-Instruct-Open-R1-Distill	Y	0.5324	0.4779	0.9377	0.9089
Llama-3.1-8B	Llama-3.1-8B-Instruct-PsyCourse-fold7	Y	0.5283	0.4082	0.9366	0.8846
Llama-3.1-8B	Llama-3.1-8B-Instruct-cv-job-description-matching	Y	0.5097	0.3917	0.9371	0.8862
Llama-3.1-8B	Llama-3.1-8B-TLDR	Y	0.9130	0.9031	0.9897	0.9868
Llama-3.1-8B	Mistral-7B-distilled-from-deepseek-r1-qwen32b	N	-0.0041	-0.0374	0.5562	0.4407
Llama-3.1-8B	Mistral-7B-v0.3	N	-0.0005	-0.0327	0.5560	0.4408
Llama-3.1-8B	Mistral-7B-v0.3-Brain	N	0.0008	-0.0098	0.5560	0.4407
Llama-3.1-8B	Mistral-7B-v0.3-Instruct	N	-0.0030	-0.0371	0.5562	0.4410
Llama-3.1-8B	Mistral-7B-v0.3-Instruct-GPTQ-4bit	N	-0.0024	-0.0345	0.5540	0.4411
Llama-3.1-8B	Mistral-7B-v0.3-Instruct-demi-merge	N	-0.0025	-0.0393	0.5561	0.4409
Llama-3.1-8B	Mistral-7B-v0.3-Spellcheck	N	-0.0028	-0.0306	0.5562	0.4413
Llama-3.1-8B	coma-7B-v0.1	N	0.0044	0.0001	0.1404	0.0680
Llama-3.1-8B	llama-2-7b-logit-watermark-distill-kgw-k1-gamma0.25-delta2	N	0.0029	0.0091	0.1629	0.0932
Llama-3.1-8B	llama2-Better-Tune	N	0.0013	0.0043	0.1998	0.1512
Llama-3.1-8B	tulu-2-7b	N	0.0026	0.0137	0.1744	0.1181
Mistral-7B-v0.3	AQUA-7B	Y	0.4954	0.5248	0.9294	0.9093
Mistral-7B-v0.3	EYE-Llama_qa	N	0.0058	-0.0314	0.2785	0.2084
Mistral-7B-v0.3	Llama-2-7B-Chat-GPTQ	N	0.0035	-0.0186	0.2248	0.1541
Mistral-7B-v0.3	Llama-2-7b	N	0.0058	-0.0105	0.1778	0.0937
Mistral-7B-v0.3	Llama-2-7b-chat	N	0.0078	-0.0238	0.2274	0.1586
Mistral-7B-v0.3	Llama-3.1-8B	N	0.0004	-0.0429	0.5529	0.4619
Mistral-7B-v0.3	Llama-3.1-8B-Carballo	N	0.0010	-0.0052	0.0901	0.0733
Mistral-7B-v0.3	Llama-3.1-8B-ExtraMix	N	0.0004	-0.0345	0.5625	0.4684
Mistral-7B-v0.3	Llama-3.1-8B-Fireplace2	N	-0.0025	-0.0310	0.5612	0.4677
Mistral-7B-v0.3	Llama-3.1-8B-Instruct	N	0.0005	-0.0309	0.5642	0.4697
